,nodes,eigenvector,closeness
16,P.J. Hanke,0.0298210968419017,0.37373737373737376
19,Ron Rocha,0.0298210968419017,0.37373737373737376
20,R. Don Smith,0.0298210968419017,0.37373737373737376
2,Todd Alcott,0.029468845755656524,0.4073394495412844
3,Chris Weitz,0.029468845755656524,0.4073394495412844
4,Paul Weitz,0.029468845755656524,0.4073394495412844
8,Carl Rosendahl,0.029468845755656524,0.4073394495412844
10,Patty Wooton,0.029468845755656524,0.4073394495412844
129,Maya Forbes,0.029022996545626508,0.41965973534971646
130,Wallace Wolodarsky,0.029022996545626508,0.41965973534971646
134,Alexander Westerman,0.029022996545626508,0.41965973534971646
188,Michael McCullers,0.027842244092224563,0.392226148409894
135,Dean DeBlois,0.027238817932068435,0.42528735632183906
137,Cressida Cowell,0.027238817932068435,0.42528735632183906
142,Michael A. Connolly,0.027238817932068435,0.42528735632183906
143,Doug Davison,0.027238817932068435,0.42528735632183906
145,Roy Lee,0.027238817932068435,0.42528735632183906
30,Peter Lord,0.02590277966485726,0.441351888667992
38,David Sproxton,0.02590277966485726,0.441351888667992
162,Jennifer Yuh Nelson,0.02448775011596214,0.4051094890510949
140,Kristine Belson,0.023894356705910322,0.4065934065934066
211,Erica Rivinoja,0.023365662154286888,0.3854166666666667
212,Thomas Dam,0.023365662154286888,0.3854166666666667
213,Dannie Festa,0.023365662154286888,0.3854166666666667
182,Rob Minkoff,0.02298118441831339,0.387434554973822
183,Jay Ward,0.02298118441831339,0.387434554973822
184,Craig Wright,0.02298118441831339,0.387434554973822
185,Robert Ben Garant,0.02298118441831339,0.387434554973822
186,Thomas Lennon,0.02298118441831339,0.387434554973822
187,Ted Key,0.02298118441831339,0.387434554973822
189,Jason Clark,0.02298118441831339,0.387434554973822
190,Eric Ellenbogen,0.02298118441831339,0.387434554973822
191,Alex Schwartz,0.02298118441831339,0.387434554973822
192,Tiffany Ward,0.02298118441831339,0.387434554973822
116,Christina Steinberg,0.022314142592692553,0.4036363636363636
117,Cameron Stevning,0.022314142592692553,0.4036363636363636
31,Nick Park,0.021756365127476848,0.4141791044776119
36,Michael Rose,0.021756365127476848,0.4141791044776119
37,Carla Shelley,0.021756365127476848,0.4141791044776119
53,Lorna Cook,0.020430664803555907,0.39713774597495527
54,John Fusco,0.020430664803555907,0.39713774597495527
55,Michael Lucker,0.020430664803555907,0.39713774597495527
56,Max Howard,0.020430664803555907,0.39713774597495527
33,John O'Farrell,0.020221376355846248,0.4111111111111111
34,Jake Eberts,0.020221376355846248,0.4111111111111111
35,Jacky Priddle,0.020221376355846248,0.4111111111111111
39,Lenny Young,0.020221376355846248,0.4111111111111111
146,Bruce Seifert,0.0194692850144285,0.39713774597495527
139,Adam F. Goldberg,0.019469285014428496,0.39713774597495527
144,Karen Foster,0.019469285014428496,0.39713774597495527
58,Patrick Gilmore,0.019289646831553244,0.4277456647398844
59,John Logan,0.019289646831553244,0.4277456647398844
207,Alessandro Carloni,0.01874696216984833,0.3669421487603306
208,Jeff Hermann,0.01874696216984833,0.3669421487603306
209,Peikang La,0.01874696216984833,0.3669421487603306
210,Rui Gang Li,0.01874696216984833,0.3669421487603306
218,Nicholas Stoller,0.01805877207887864,0.3781942078364566
219,Dav Pilkey,0.01805877207887864,0.3781942078364566
220,Marie Balland,0.01805877207887864,0.3781942078364566
221,Chris Finnegan,0.01805877207887864,0.3781942078364566
222,Daniela Mazzucato,0.01805877207887864,0.3781942078364566
84,Len Blum,0.015563877350055261,0.392226148409894
85,Lorne Cameron,0.015563877350055261,0.392226148409894
86,David Hoselton,0.015563877350055261,0.392226148409894
87,Michael Fry,0.015563877350055261,0.392226148409894
88,T. Lewis,0.015563877350055261,0.392226148409894
89,Chris Poche,0.015563877350055261,0.392226148409894
90,Mike de Seve,0.015563877350055261,0.392226148409894
91,Eric Forsberg,0.015563877350055261,0.392226148409894
93,Ellen Coss,0.015563877350055261,0.392226148409894
94,Jim Cox,0.015563877350055261,0.392226148409894
95,Christian Kubsch,0.015563877350055261,0.392226148409894
217,Jed Schlanger,0.015213621275058105,0.39572192513368987
195,Kate Spencer,0.015204654012098341,0.39713774597495527
118,Mark Osborne,0.014553596578060359,0.37436762225969644
119,John Stevenson,0.014553596578060359,0.37436762225969644
126,Kristina Reed,0.014553596578060357,0.37436762225969644
83,Cecil Kramer,0.013770203454225747,0.3881118881118881
193,Aaron Dem,0.013289155918640537,0.38341968911917096
194,Kendra Haaland,0.013289155918640537,0.38341968911917096
110,Jerry Seinfeld,0.013161702630333416,0.373109243697479
111,Spike Feresten,0.013161702630333416,0.373109243697479
112,Barry Marder,0.013161702630333416,0.373109243697479
113,Andy Robin,0.013161702630333416,0.373109243697479
114,Chuck Martin,0.013161702630333416,0.373109243697479
115,Tom Papa,0.013161702630333416,0.373109243697479
172,Peter Ramsey,0.010758964081569657,0.3627450980392157
173,David Lindsay-Abaire,0.010758964081569657,0.3627450980392157
174,William Joyce,0.010758964081569657,0.3627450980392157
175,Nancy Bernstein,0.010758964081569657,0.3627450980392157
177,Michael Siegel,0.010758964081569657,0.3627450980392157
203,Tom J. Astle,0.009977482922797253,0.39015817223198596
204,Matt Ember,0.009977482922797253,0.39015817223198596
205,Adam Rex,0.009977482922797253,0.39015817223198596
206,Christopher Jenkins,0.009977482922797253,0.39015817223198596
80,Steve Box,0.00962378891684532,0.36097560975609755
81,Bob Baker,0.00962378891684532,0.36097560975609755
82,Claire Jennings,0.00962378891684532,0.36097560975609755
180,Robert Siegel,0.009532023344591415,0.3580645161290323
96,David Bowers,0.006506941827702209,0.34850863422291994
97,Sam Fell,0.006506941827702209,0.34850863422291994
98,Dick Clement,0.006506941827702209,0.34850863422291994
99,Ian La Frenais,0.006506941827702209,0.34850863422291994
100,Christopher Lloyd,0.006506941827702209,0.34850863422291994
101,Joe Keenan,0.006506941827702209,0.34850863422291994
103,Maryann Garger,0.006506941827702209,0.34850863422291994
104,Steve Pegram,0.006506941827702209,0.34850863422291994
178,Kirk DeMicco,0.006425025771760285,0.33534743202416917
179,John Cleese,0.006425025771760285,0.33534743202416917
214,Marla Frazee,0.0058633265327580715,0.357487922705314
215,Rebecca Huntley,0.0058633265327580715,0.357487922705314
216,Ramsey Ann Naito,0.0058633265327580715,0.357487922705314
